area,positionname,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
长沙市,高开区环保局,2024-11-06T1500,112.8872,28.2189,36,56,0.4,8,6,152,94,53,颗粒物(PM10)
长沙市,马坡岭,2024-11-06T1500,113.0792,28.2053,51,64,0.6,15,6,158,100,70,细颗粒物(PM2.5)
长沙市,湖南师范大学,2024-11-06T1500,112.9394,28.19,39,72,0.6,12,5,161,107,61,颗粒物(PM10)
长沙市,雨花区环保局,2024-11-06T1500,113.0178,28.1322,43,83,0.5,13,6,158,100,67,颗粒物(PM10)
长沙市,伍家岭,2024-11-06T1500,112.9792,28.2597,44,71,0.7,13,6,158,90,62,细颗粒物(PM2.5)
长沙市,火车新站,2024-11-06T1500,113.0014,28.1944,48,70,0.6,13,7,158,99,67,细颗粒物(PM2.5)
长沙市,天心区环保局,2024-11-06T1500,112.9844,28.1178,38,66,0.3,20,6,154,95,58,颗粒物(PM10)
长沙市,湖南中医药大学,2024-11-06T1500,112.8908,28.1308,36,74,0.7,11,9,166,107,62,颗粒物(PM10)
长沙市,沙坪,2024-11-06T1500,112.9581,28.3611,39,58,0.4,12,9,152,95,55,细颗粒物(PM2.5)
长治市,清华站,2024-11-06T1500,113.1147,36.1547,22,42,0.4,16,10,109,66,42,
长治市,监测站,2024-11-06T1500,113.1031,36.1989,27,36,0.5,12,12,109,55,39,
长治市,审计局,2024-11-06T1500,113.0886,36.2125,29,59,0.5,13,7,105,56,55,颗粒物(PM10)
长治市,长治八中,2024-11-06T1500,113.0844,36.1856,27,32,0.5,16,9,109,56,39,
长治市,德盛苑,2024-11-06T1500,113.1569,36.1911,19,41,0.5,18,6,113,77,41,
长治市,向阳小学,2024-11-06T1500,113.06,36.0464,34,58,0.3,24,11,108,85,54,颗粒物(PM10)
长治市,屯留一中,2024-11-06T1500,112.8792,36.3144,30,52,1.2,18,8,114,65,51,颗粒物(PM10)
长治市,潞城四中,2024-11-06T1500,113.235,36.3489,34,59,0.4,17,9,122,66,55,颗粒物(PM10)
常德市,市二中,2024-11-06T1500,111.6975,28.9703,54,87,0.7,15,7,161,86,74,细颗粒物(PM2.5)
常德市,白鹤山,2024-11-06T1500,111.7158,29.1456,,,,,,,,,
常德市,武陵区永安,2024-11-06T1500,111.7153,29.0289,45,92,0.9,14,8,162,98,71,颗粒物(PM10)
常德市,鼎城区玉霞,2024-11-06T1500,111.6892,28.9881,54,90,0.9,13,8,164,90,74,细颗粒物(PM2.5)
常德市,武陵区长庚,2024-11-06T1500,111.6625,29.0531,52,90,0.8,19,7,166,98,72,细颗粒物(PM2.5)
常州市,市监测站,2024-11-06T1500,119.9633,31.762,22,52,0.4,16,8,112,82,51,颗粒物(PM10)
常州市,武进监测站,2024-11-06T1500,119.9468,31.7069,19,33,0.4,9,13,106,78,34,
常州市,安家,2024-11-06T1500,119.9255,31.9087,17,32,0.3,14,8,111,77,35,
常州市,行政中心,2024-11-06T1500,119.9805,31.8174,18,36,0.5,14,1,109,79,36,
常州市,经开区,2024-11-06T1500,120.0522,31.7748,25,44,0.3,20,8,116,78,44,
常州市,钟楼,2024-11-06T1500,119.9025,31.7964,17,35,0.5,15,8,106,79,35,
常州市,武进经发区,2024-11-06T1500,119.8598,31.7066,19,40,0.3,9,8,110,77,40,
常州市,金坛城区,2024-11-06T1500,119.5826,31.7245,19,33,0.3,11,6,118,84,37,
朝阳市,西梁,2024-11-06T1500,120.4318,41.5881,15,18,0.5,8,12,68,42,22,
朝阳市,河畔小区,2024-11-06T1500,120.4521,41.5646,17,93,0.6,10,12,68,39,72,颗粒物(PM10)
朝阳市,八里堡,2024-11-06T1500,120.4176,41.5648,19,25,0.7,10,14,70,40,28,
朝阳市,农业园区,2024-11-06T1500,120.3806,41.5969,18,83,1.0,12,14,68,,67,颗粒物(PM10)
潮州市,西园路,2024-11-06T1500,116.6367,23.6719,25,,0.3,,4,94,82,,
潮州市,市政府,2024-11-06T1500,116.6183,23.6608,18,32,0.7,7,6,98,83,32,
潮州市,金山,2024-11-06T1500,116.6461,23.6761,23,31,0.7,6,8,95,84,33,
郴州市,马头岭,2024-11-06T1500,113.0073,25.9061,17,50,1.0,11,20,118,92,50,
郴州市,市职中,2024-11-06T1500,113.0116,25.8226,34,45,0.7,8,19,132,97,49,
郴州市,兴隆步行街,2024-11-06T1500,113.0161,25.8001,40,64,0.7,12,22,131,104,57,"颗粒物(PM10),细颗粒物(PM2.5)"
郴州市,市审计局,2024-11-06T1500,113.0383,25.8071,38,50,0.6,8,21,137,104,54,细颗粒物(PM2.5)
郴州市,市环保局,2024-11-06T1500,113.0348,25.7759,25,60,0.6,8,24,130,107,55,颗粒物(PM10)
成都市,金泉两河,2024-11-06T1500,103.9728,30.7236,30,57,0.5,27,3,42,24,54,颗粒物(PM10)
成都市,十里店,2024-11-06T1500,104.176,30.6872,9,21,0.4,20,3,75,30,24,
成都市,三瓦窑,2024-11-06T1500,104.079,30.5706,19,39,0.3,16,2,71,36,39,
成都市,沙河铺,2024-11-06T1500,104.1114,30.63,17,36,,19,,75,36,,
成都市,君平街,2024-11-06T1500,104.0786,30.6531,31,62,0.6,45,6,26,22,56,颗粒物(PM10)
成都市,灵岩寺,2024-11-06T1500,103.613,31.0283,,,,,,,,,
成都市,大石西路,2024-11-06T1500,104.0239,30.65639,44,69,0.6,39,4,22,19,62,细颗粒物(PM2.5)
成都市,龙泉驿区区政府,2024-11-06T1500,104.2725,30.5589,17,22,0.4,12,3,72,46,25,
成都市,金博路,2024-11-06T1500,104.0106,30.6931,45,61,0.5,34,2,27,18,63,细颗粒物(PM2.5)
成都市,华阳,2024-11-06T1500,104.0578,30.5225,24,34,0.5,13,2,57,27,35,
成都市,车城东七路,2024-11-06T1500,104.2394,30.5319,25,38,0.4,12,2,67,30,38,
成都市,青白江技师分院,2024-11-06T1500,104.3853,30.7453,25,34,0.5,13,4,80,42,36,
成都市,科学城,2024-11-06T1500,104.0789,30.4072,36,50,,,,,22,,
成都市,光华大道三段,2024-11-06T1500,103.8506,30.6947,38,49,0.5,20,5,61,40,54,细颗粒物(PM2.5)
承德市,铁路,2024-11-06T1500,117.9531,40.9081,14,,0.4,16,11,53,31,20,
承德市,中国银行,2024-11-06T1500,117.9392,40.9763,3,23,0.4,13,9,57,31,23,
承德市,开发区,2024-11-06T1500,117.9503,40.928,7,26,0.4,18,10,56,33,26,
承德市,文化中心,2024-11-06T1500,117.8051,40.9655,3,38,1.7,21,50,55,27,38,
承德市,离宫,2024-11-06T1500,117.9268,41.0026,14,18,0.5,16,11,46,27,20,
池州市,池州学院,2024-11-06T1500,117.47,30.6618,28,64,0.5,17,8,129,86,57,颗粒物(PM10)
池州市,展览馆,2024-11-06T1500,117.4918,30.6617,32,55,0.4,16,7,128,86,53,颗粒物(PM10)
池州市,第八中学,2024-11-06T1500,117.5627,30.695,31,56,0.4,16,7,126,82,53,颗粒物(PM10)
池州市,第十二中学,2024-11-06T1500,117.5038,30.6243,24,55,0.4,15,6,131,91,53,颗粒物(PM10)
赤峰市,松山一中,2024-11-06T1500,118.9233,42.2816,3,20,0.7,23,23,60,35,20,
赤峰市,哈达街,2024-11-06T1500,118.9576,42.2728,8,17,0.8,25,19,51,41,17,
赤峰市,天义路,2024-11-06T1500,118.8788,42.2554,3,6,0.3,11,7,78,42,25,
赤峰市,银河街,2024-11-06T1500,119.2658,42.0353,24,44,0.8,19,21,63,39,44,
赤峰市,桥北物流园区,2024-11-06T1500,118.9359,42.3147,27,34,1.2,27,51,60,38,39,
崇左市,市环保局江州分局,2024-11-06T1500,107.3476,22.4136,33,59,0.7,6,5,138,94,55,颗粒物(PM10)
崇左市,城南新区,2024-11-06T1500,107.3702,22.3707,37,53,0.6,5,7,146,96,53,细颗粒物(PM2.5)
滁州市,老年大学,2024-11-06T1500,118.3093,32.3153,12,27,0.2,12,3,110,90,35,
滁州市,人大宾馆,2024-11-06T1500,118.3244,32.2786,14,25,0.3,14,7,106,73,34,
滁州市,市政府原办公楼,2024-11-06T1500,118.3118,32.3038,13,21,0.3,14,5,107,72,34,
滁州市,图书馆,2024-11-06T1500,118.3267,32.2634,11,26,0.1,11,,,70,,
楚雄彝族自治州,州环境监测站,2024-11-06T1500,101.5482,25.0441,41,45,0.8,9,6,72,45,58,细颗粒物(PM2.5)
楚雄彝族自治州,市经济开发区,2024-11-06T1500,101.538,25.0492,39,44,0.7,10,6,72,40,55,细颗粒物(PM2.5)
达州市,达州职业技术学院,2024-11-06T1500,107.5277,31.2827,26,33,0.7,16,4,55,16,38,
达州市,市环境监测站,2024-11-06T1500,107.5086,31.2186,17,34,0.5,25,5,69,20,34,
达州市,凤凰小区,2024-11-06T1500,107.4988,31.2132,22,39,0.5,19,7,78,24,39,
达州市,达县机关宾馆,2024-11-06T1500,107.5082,31.1986,35,36,0.6,25,5,73,29,50,
达州市,市政中心,2024-11-06T1500,107.4644,31.2124,14,50,0.8,23,10,70,23,50,
大理白族自治州,大理市环境监测站,2024-11-06T1500,100.1542,25.7054,29,43,0.6,9,6,65,42,43,
大理白族自治州,大理古城,2024-11-06T1500,100.2171,25.5811,17,30,0.5,17,6,58,47,30,
大连市,甘井子,2024-11-06T1500,121.612,38.9741,13,27,0.7,33,12,61,50,27,
大连市,周水子,2024-11-06T1500,121.565,38.9511,13,28,0.6,32,15,56,41,28,
大连市,星海三站,2024-11-06T1500,121.5637,38.8845,10,21,0.4,13,8,72,51,23,
大连市,青泥洼桥,2024-11-06T1500,121.6302,38.9117,11,23,0.2,19,11,67,53,23,
大连市,傅家庄,2024-11-06T1500,121.6251,38.8638,10,17,0.3,17,10,71,62,23,
大连市,七贤岭,2024-11-06T1500,121.5213,38.8661,8,20,0.5,15,8,69,52,22,
大连市,旅顺,2024-11-06T1500,121.2529,38.8061,6,20,0.5,14,8,88,60,28,
大连市,金州,2024-11-06T1500,121.7485,39.1311,16,26,0.4,22,8,66,59,26,
大连市,开发区,2024-11-06T1500,121.7811,39.0496,11,22,0.2,17,7,65,57,22,
大连市,双D港,2024-11-06T1500,121.9762,39.0631,7,12,0.4,11,8,80,70,25,
大庆市,大同区,2024-11-06T1500,124.81117,46.03138,20,24,0.3,4,2,59,44,29,
大庆市,龙凤区,2024-11-06T1500,125.129,46.533,18,34,0.4,4,3,55,41,34,
